"title";"author";"abstract";"year";"keywords"
"470";"Measuring non-monetary poverty in the coffee heartlands of Laos and Rwanda: comparing MPI and EDI frameworks";"Patrick Illien and Eliud Birachi and Maliphone Douangphachanh and Saithong Phommavong and Christoph Bader and Sabin Bieri";"Poverty reduction is a key objective of development interventions. Evaluating the effectiveness of policies and programmes thus requires practical, reliable and context-relevant measures of poverty. This article is the first to compare the new Extreme Deprivation Index (EDI) framework with the increasingly used global Multidimensional Poverty Index (MPI) framework. Locally adapted versions of both non-monetary poverty measures were calculated for each household using an original survey in Rwanda?s main coffee-producing region (a high deprivation context) and another in Laos?s main coffee-producing region (a relatively low deprivation context). We examine the resulting poverty profiles and discuss implications for policy design and evaluation. We find that, despite limited overlap, in both contexts each index identifies households that are consistently worse off on multiple key markers of poverty and can therefore be considered valid measures. In addition, known key markers of poverty can predict adjusted global MPI status better than EDI status in Laos, whereas the EDI framework performs best in Rwanda. We conclude that the EDI framework provides a quick and reliable way to identify households with very low standards of living in high deprivation contexts. It is particularly useful for programmes with limited resources operating in comparatively poor rural settings.";2022;"poverty, measures, comparison, index, effectiveness"
"471";"Networks of action situations: a systematic review of empirical research";"Christian Kimmich and Elizabeth Baldwin and Elke Kellner and Christoph Oberlack and Sergio Villamayor-Tomas";"?Action situations?{--";2022;"abstract, emotions, action, situations, perception"
"472";"Ideologischer oder pragmatischer Mehrwertausgleich? Eine interkantonale Untersuchung zum Einfluss der politischen Legitimation auf die Ausgestaltung des Ausgleichs planungsbedingter Vorteile in der Schweiz";"Louis T. Scheiwiller and Andreas Heinrich Hengstermann";"Als eines der wenigen Beispiele weltweit sieht das Schwei-zer Planungsrecht ein Instrument zum Ausgleich planungs-bedingter Bodenwertsteigerungen vor. Die Bestimmung aufder Bundesebene ist jedoch nicht direkt anwendbar, son-dern lediglich ein verbindlicher Rechtsetzungsauftrag an dieKantone. Jenseits der bundesrechtlichen Minimalvorgabenkommen den Kantonen dabei in den Gesetzgebungsverfah-ren weitreichende Gestaltungsspielr{\"a";2022;"bodenwertsteigerungen, instrument, planungsbedingter, rechtsetzungsauftrag, gestaltungsspielräume"
"473";"Manufacturing triple-isotopically labeled microbial necromass to track C, N and P cycles in terrestrial ecosystems";"Marius Schmitt and Klaus Jarosch and Robert Hertel and Sandra Spielvogel and Michaela A. Dippold and Sebastian Loeppmann";"The functional relevance of microbial necromass in terrestrial biogeochemical cycles remains one of the unresolved mysteries of element cycling in ecosystems, especially considering the high microbial abundance and turnover in soil. We therefore established a protocol to manufacture multi-isotope (14C, 15N and 33P) labeled microbial necromass to comprehensively track the turnover of microbial necromass elements within element cycles. This protocol encompasses the i) microbial cultivation of Pseudomonas kilonensis ACN4 (Gram-negative) and Bacillus licheniformis DSM13 (Gram-positive) on labeled minimal medium as well as fungal cultivation of Hypsizygus tessulatus on a complex yeast medium, ii) quantification of radio- (14C, 33P) and stable (15N) isotope incorporation as well their cellular pool partitioning, and iii) determination of element and tracer isotope uptake efficiency. We achieved 1 g of bacterial biomass per liter minimum medium within 24 h and 2.9 g l-1 fungal biomass in complex medium within 18 d. This production rate enabled us to produce more than 100 g of necromass within only one half-life time of 33P, including post-harvest processing. Isotope uptake and incorporation for 33P ranged from 10 to 73%, for 15N from 24 to 52%, and for 14C from 12 to 23%. Each of the cultivated species showed individual patterns of tracer element uptake. The nutritional value of the carbon- (C), nitrogen- (N) and phosphorus- (P) labeled microbial necromass was characterized by a water-based, necromass speciesspecific partitioning scheme with subsequent elemental analysis of the pools. We separated Gram-negative, Gram-positive and fungi?s cellular pools to characterize element and tracer partitioning among dissolved versus particulate fractions. That is essential because these properties subsequently affect the respective pool's availability for ecosystem nutrition. Our procedure allows a defined production of microorganism-based necromass, enabling versatile use to determine necromass-related nutrient fluxes in terrestrial ecosystem studies.";2022;"functional, microbial, isotopes, turnover, biomass"
"474";"Using the inverse dispersion method to determine methane emissions from biogas plants and wastewater treatment plants with complex source configurations";"Marcel B{\"u";"";2022;"parkinson, disease, progression, predictive, machine"
"475";"Scanning Hyperspectral Imaging for In Situ Biogeochemical Analysis of Lake Sediment Cores: Review of  Recent Developments";"Paul David Zander and Giulia Luise Wienhues and Martin Grosjean";"Hyperspectral imaging (HSI) in situ core scanning has emerged as a valuable and novel tool for rapid and non-destructive biogeochemical analysis of lake sediment cores. Variations in sediment composition can be assessed directly from fresh sediment surfaces at ultra-high-resolution (40?300 {ensuremath{mu";2022;"hyperspectral, imaging, in-situ, core, scanning"
"476";"Planning for social sustainability: mechanisms of social exclusion in densification through large-scale redevelopment projects in Swiss cities";"Gabriela Debrunner and Arend Jonkman and Jean-David Gerber";"In many cities, there has been renewed interest over the last 30years in densification as part of wider efforts to combat urban sprawl. In daily practice, however, densification is a contested process because of its redistributive effects. Next to potential envi- ronmental advantages, it produces both benefits and losses for different individuals and households. The redistributive effects are an expression of conflicts between environmental, economic, and social dimensions of sustainability. We show that the latter is heav- ily impacted: if densification projects are not designed to the needs of people who are actually supposed to benefit from it{--";2022;"urban, densification, contested, redistributive, sustainability"
"477";"Measurement of methane emissions from confined sources using the inverse dispersion method";"Marcel B{\"u";"Greenhouse gas (GHG) emissions are reported in annual national inventories. Globally, the main anthropogenic sources of methane (CH4) are fossil fuel burning, agriculture, landfills, and waste management. The main source of CH4 from agriculture is enteric fermentation in the digestive tract of ruminants and a minor source are emissions from manure management. In 2019, the Swiss Federal council decided that Switzerland must reduce its GHG emission to net-zero until 2050. To reach this goal, the agricultural sector is obliged to contribute to the emission reduction. However, emissions from the agriculture and waste sector imply large uncertainties as, among other reasons, the availability of data based on real-world studies is limited. Several investigations showed that measurements from laboratory- or pilot-scale experiments do often not comply with real-world conditions. For studies under real-world conditions, different measurement approaches are available. One of the most promising methods is the inverse dispersion method (IDM) that was applied in this thesis to measure CH 4 emissions from livestock production and the waste management sector in order to evaluate the method for complex source configurations and to specify emission factors of these sources.  For the IDM, a backward Lagrangian stochastic (bLS) model in combination with concentration measurements up- and downwind of the source using open-path tunable diode laser spectrometers (GasFinders) were employed. GasFinders are simple to use, flexible in their application, and relatively cost-effective measuring devices. However, several challenges were faced and overcome throughout the thesis. The precision of the employed GasFinder model was about 10 times lower than the manufacturer stated, which necessitated adaptation in the measurement setup. Additionally, an intercomparison before or after each measurement campaign was necessary to correct the offset and span between the employed GasFinders.  In the first two studies presented in this thesis, experiments were conducted to evaluate the IDM. In a third study, experiments were conducted to assess the handling of complex source configurations with the IDM. The emissions determined in the third study were used as a basis for emission factors of Swiss biogas plants (BGPs) and wastewater treatment plants (WWTPs).  In the first study, a known and predefined amount of CH 4 was released by an artificial source in a barn that mimics a dairy housing. For concentration measurements, GasFinders with a path length ii Thesis summary of 110 m were placed in downwind direction of the barn at a distance of 50 m, 100 m, 150 m, and 200 m. At the first three distances, an ultrasonic anemometer was placed in the middle of the GasFinder path length for executing turbulence measurements. Upwind of the barn, an additional GasFinder and an ultrasonic anemometer were installed. The main objective was to test the ideal measurement fetch for the IDM. The results of this experiment are included in the method section, where the conditions and the setup of an IDM measurement campaign are outlined. A release rate of 140 norm litres min -1 was chosen to achieve sufficient concentration enhancement at the GasFinder locations. The mean recovery rates of the experiment were between 0.55 ? 0.76.  In the second study, CH4 emission measurements from a naturally ventilated dairy housing were conducted in two measurement campaigns. During part of the campaign duration, emissions were also measured inside the housing with the inhouse tracer ratio method (iTRM). This allowed comparing the IDM with the iTRM, which was considered as a reference method for naturally ventilated livestock housings. For simultaneous emission intervals, the average IDM emissions were lower by 1 % and 8 % compared to the iTRM measurements, which was within the uncertainty of either of the two methods. Additionally, an uncertainty analysis for the IDM showed that measurement campaigns of at least 10 consecutive days are necessary to acquire reliable emission data.  The third study addressed the handling of complex source configurations with the IDM. Emissions from four agricultural BGPs and two WWTPs in Switzerland were measured. The average BGP CH 4 emission varied between 0.39 kg h -1 and 2.22 kg h-1, which was less than 5 % of the plant?s CH4 production. The average CH4 emissions for the two WWTPs were 166 g population-equivalent-1 y -1 and 381 g population-equivalent-1 y -1, respectively. The BGPs often had livestock housings nearby that needed to be discriminated from the plant emission. It was demonstrated how the plant emission can be corrected for the nearby CH4 sources, which confounded the GasFinder measurements. Further, it was demonstrated how to combine multiple GasFinder measurements to a single line concentration for the bLS modelling. WWTPs are complex sources as they consist of multiple sub-sources with different emission strengths spread over a large area. Three different calculation approaches with different degree of details are presented for the combination of the individual sources in the bLS modelling: (i) A polygon over the entire WWTP area as a single source. (ii) All potential sources within the WWTP have a uniform emission density. (iii) Based on literature data, relative weighting of the individual sources is carried out. The maximum difference in emission between the most complex approach (iii) and the simplest approach (i) was 42 %. It could be shown that for large source areas ({ensuremath{>";2022;"methane, emissions, livestock, measurements, complex"
"478";"Stable Isotopes of Water from the Glacier de Martinets, 14-September-2021";"Natalie Claire Ceperley and Bettina Schaefli and Stefano Ferraris and Maarika Bischoff";"";2022;"osteoporosis, premenopausal, women, teriparatide, treatment"
"479";"Stable Water Isotopes in Fresh Snow Along 2 Slopes in the Canton of Grisons/Graub{\"u";"Manuel R{\"u";"";2022;"tropical, forests, carbon, sequestration, potential"
"480";"Ten facts about land systems for sustainability";"Patrick Meyfroidt and Ariane de Bremond and Casey M. Ryan and Emma Archer and Richard Aspinall and Abha Chhabra and Gilberto Camara and Esteve Corbera and Ruth DeFries and Sandra D{'i";"";2022;"robotics, perception, agriculture, navigation, autonomous"
"481";"Grounding religious geopolitics: The everyday counter-geopolitical practices of Turkish mosque communities in Germany";"Devran Koray {\"O";"";2022;"water, scarcity, policy, agricultural, sustainability"
"482";"Opportunities for Mitigating Soil Compaction in Europe - Case Studies from the SoilCare Project Using Soil-Improving Cropping Systems";"Ilaria Piccoli and Till Seehusen and Jenny Bussell and Olga Vizitu and Irina Claciu and Antonio Berti and Gunnar B{\"o";"Soil compaction (SC) is a major threat for agriculture in Europe that affects many ecosystem functions, such as water and air circulation in soils, root growth, and crop production. Our objective was to present the results from five short-term ({ensuremath{<";2022;"soils, compaction, agriculture, europe, threat"
"483";"Subseasonal Temporal Clustering of Extreme Precipitation in the Northern Hemisphere: Regionalization and Physical Drivers";"Alexandre Tuel and Olivia Romppainen-Martius";"Temporal clustering of extreme precipitation (TCEP) at subseasonal time scales often results in major impactson humans and ecosystems. Assessment and mitigation of the risk of such events requires characterization of their weather/climate drivers and their spatial dependence. Here, we introduce a regionalization method that identifies coherent regions in which the likelihood of subseasonal TCEP exhibits similar dependence to large-scale dynamics. We apply this method to each season in the Northern Hemisphere using ERA5 reanalysis data. The analysis yields spatially coherent regions, primarily at high latitudes and along the eastern margins of ocean basins. We analyze the large-scale and synoptic conditions associated with TCEP in several of the identified regions, in light of three key ingredients: lifting, moisture availability, and persistence in synoptic conditions. We find that TCEP is often directly related to distinct cyclone and blocking frequency anomalies and upper-level wave patterns. Blocking and associated Rossby wave breaking are particularly relevant at high latitudes and midlatitudes. At upper levels, meridional wave patterns dominate; however, in western Europe and parts of North America, TCEP is sometimes associated with zonally extended wave patterns. The flow features associated with TCEP in the eastern Pacific and eastern Atlantic Oceans exhibit similarities. For some regions, moisture flux anomalies are present during clustering episodes whereas in others forced lifting alone is sufficient to trigger heavy precipitation. Our results provide new information on the dynamics and spatial dependence of TCEP that may be relevant for the subseasonal prediction of clustering episodes.";2022;"clustering, extreme, precipitation, spatial, dynamics"
"484";"Agricultural landscape change impact on the quality of land: An African continent-wide assessment in gained and displaced agricultural lands.";"Felicia Olufunmilayo Akinyemi and Chinwe Ifejika Speranza";"Agricultural land area is increasing globally despite the loss of productive agricultural lands in some world regions. We examine the case of Africa where the knowledge about major agricultural land transitions and the impacts on the quality of land is still very limited. A comprehensive assessment of change in agricultural landscapes was conducted at the African continental scale. We identify influencing factors and model the quality of land associated with agricultural land gains and losses between 2000 and 2018. Land quality was established based on spatially-explicit analysis of varying Net Primary Productivity, soil organic carbon content, crop suitability and percent yield change for major crops of global importance grown across Africa such as maize, rice, soybean, wheat, and alfalfa. Distance to settlements was important in explaining agricultural land dynamics. Most land areas that transitioned to cropland in Africa were associated with large distances away from major roads. Poor access to major roads suggests the remoteness of gained croplands. Land quality was better in gained croplands than in those lost, whereas gained grasslands were of lesser quality compared to areas of grassland loss. Five typologies of African countries were developed based on net yield and amount of land cultivated per crop in cropland change areas. Type 1 typifies net yield increase and cultivated land decrease, while type 2 is characterized by yield increase consequent upon cropland expansion. Net yield and land remain unchanged in type 3, while in type 4 cultivated land increased but yield decreased as in 40% of African countries for maize, and in type 5, both yield and land area decreased. This study thus provides evidence about the quality of land in gained and lost agricultural areas and generalizable insights on their dynamics across Africa.";2022;"agricultural, land, quality, africa, dynamics"
"485";"Qualit{\"a";"Louis T. Scheiwiller and Andreas Heinrich Hengstermann";"";2022;"classification, pavement, condition, data, model"
"486";"Country Profile: Switzerland";"Andreas Heinrich Hengstermann";"Different countries have different planning systems, but there has hitherto been no general overview that facilitates comparison and dialogue in the sense of academic and planning discourse.  The country profiles presented here provide a clearly arranged overview with information on the geography and socio-economic and political situation of each country as well as on the administrative structure and government system, as these aspects determine the planning system and the scope planners have to shape town and country planning within their remit.  This collection of country profiles is underpinned by the handbooks of planning terms for various countries as well as the INTERREG projects COMMIN (2004?2008, currently online at WebArchive.org), BalticClimate (2009?2011) and the ESPON project COMPASS (2016?2018).";2022;"countries, planning, profiles, overview, systems"
"487";"Recurrent Rossby waves during Southeast Australian heatwaves and links to quasi-resonant amplification and atmospheric blocks";"Syed Mubashshir Ali and Matthias R{\"o";"In the Northern Hemisphere, recurrence of transient Rossby wave packets over periods of days to weeks, termed RRWPs, may repeatedly create similar weather conditions. This recurrence leads to persistent surface anomalies and high-impact weather events. Here, we demonstrate the significance of RRWPs for persistent heatwaves in the Southern Hemisphere (SH). We investigate the relationship between RRWPs, atmospheric blocking, and amplified quasi-stationary Rossby waves with two cases of heatwaves in Southeast Australia (SEA) in 2004 and 2009. This region has seen extraordinary heatwaves in recent years. We also investigate the importance of transient systems such as RRWPs and two other persistent dynamical drivers: atmospheric blocks and quasi-resonant amplification (QRA). We further explore the link between RRWPs, blocks, and QRA in the SH using the ERA-I reanalysis dataset (1979?2018). We find that QRA and RRWPs are strongly associated: 40% of QRA days feature RRWPs, and QRA events are 13 times more likely to occur with an RRWPs event than without it. Furthermore, days with QRA and RRWPs show high correlations in the composite mean fields of upper-level flows, indicating that both features have a similar hemispheric flow configuration. Blocking frequencies for QRA and RRWP conditions both increase over the south Pacific Ocean but differ substantially over parts of the south Atlantic and Indian Ocean.";2022;"rrwps, heatwaves, southern, hemisphere, significance"
"488";"Kleines Plastik, grosse Wirkung?";"Dominika Kundel and Andreas Fliessbach and Joelle Herforth-Rahm{'e";"Plastik beherrscht in vielen Bereichen unseren Alltag ? so auch in der Landwirtschaft. Wie viel bereits in unsere {\"A";2022;"agriculture, plastic, impact, pollution, management"
"489";"Selektioniertes Leben. Einf{\"u";"Laura Perler";"";2022;"memory, retrieval, emotional, stimuli, brain"
"490";"Selektioniertes Leben. Videotagebuch";"Laura Perler";"";2022;"dna, repair, damage, cells, genes"
"491";"Selektioniertes Leben. Machtverh{\"a";"Laura Perler";"";2022;"climate, variability, precipitation, extremes, warming"
"492";"Selektioniertes Leben. Zukunftsvisionen";"Laura Perler";"";2022;"population, genomic, architecture, selection, polygenic"
"493";"Selektioniertes Leben. Genetischer Tr{\"a";"Laura Perler";"";2022;"resistance, gene, bacteria, transfer, plasmid"
"494";"Physical modelling of large wood (LW) processes relevant for river management: Perspectives from New Zealand and Switzerland";"Heide Friedrich and Diego Ravazzolo and Virginia Ruiz-Villanueva and Isabella Schalko and Gabriel Spreitzer and Jon Tunnicliffe and Volker Weitbrecht";"";2022;"cancer, cells, nanoparticles, delivery, therapy"
"495";"Why do we have so many different hydrological models? A review based on the case of Switzerland";"Pascal Horton and Bettina Schaefli and Martina Catharina Kauzlaric";"Hydrology plays a central role in applied and fundamental environmental sciences, but it is well known to suffer from an overwhelming diversity of models, particularly to simulate streamflow. We discuss here in detail how such diversity did arise based on the example of Switzerland. The case study's relevance stems from the fact that Switzerland, despite being a small country, shows a variety of hydro-climatological regimes, of water resources management challenges, and of hydrological research institutes that led to a model diversification that stands exemplary for the diversification that arose also at larger scales. Our analysis, based on literature review, personal inquiry, and an author survey, summarizes the main driving forces behind model diversification. We anticipate that this review not only helps researchers from other fields but in particular also the international hydrology community to understand why we have so many different streamflow models.";2022;"hydrology, models, diversity, switzerland, streamflow"
"496";"Universities as Transformative Social Spaces. Mobilities and Mobilizations from South Asian Perspectives";"";"The realm of higher education, much like everything else in a global and mobile world, has rapidly altered in the last few decades. More and more universities and seats of higher education are using strategies towards' 'internationalization'; by increasing heterogeneity in rank, student composition, resource endowments, faculty profiles, and their social spaces. The essays in this volume take a critical look at universities across South Asia, more specifically, at the dynamics of student mobility and mobilizations existing in such localized social spaces, and compares these with their counterparts in universities across the world. While elite universities in South Asia, as elsewhere, have been caught in a stiff international competition and are aspiring for the highest ranks, students from the most excluded communities and remote parts of the country seek entry to badly endowed universities, facing obstacles during their courses, and upon seeking entry into employment. The volume evaluates such universities as spaces for mobility opportunity and mobilizations in a globally networked world. It combines local and international perspectives with thorough observations of the dynamics in localized university spaces while embedding them in transnational processes.";2022;"education, internationalization, universities, mobility, south asia"
"497";"Swiss Early Instrumental Meteorological Series";"";"";2022;"nature, wildfires, satellite, data, accuracy"
"498";"A Research Agenda for Small and Medium-Sized Towns";"";"";2022;"deep learning, ultrasound, diagnosis, pathology, classification"
"499";"Hermann Walser, Geograf";"";"";2022;"inflammation, leukocytes, apoptosis, migration, resolution"
"500";"Beginnings and Ends of Life: Ethnographic Explorations and Methodological Reflections";"";"";2022;"modelling, prediction, incidence, malaria, children"
"501";"Quantification of Above-Ground Biomass over the Cross-River State, Nigeria, Using Sentinel-2 Data";"Ushuki A. Amuyou and Yi Wang and Bisong Francis Ebuta and Chima Jude Iheaturu and Alexander S. Antonarakis";"";2022;"language, acquisition, bilingual, children, processing"
"502";"EGU General Assembly 2022";"Gilles Antoniazza and Tobias Nicollier and Stefan Boss and Fran{c c";"";2022;"reservation, resource, management, system, sustainability"
"503";"Carbon emissions from land acquisitions in Laos";"Sonja Bauernschuster and Melanie Pichler and Vong Nanhthavong and Rasso Bernhard and Michael Epprecht and Simone Gingrich";"Large-scale land acquisitions repeatedly fall short of their acclaimed socioeconomic benefits and are associated with unintended social, economic, and ecological costs. In Laos, the government has started to question its own ?Turning Land into Capital? policy, and reviews land acquisitions or concessions with regard to their socioeconomic impacts. Empirical investigations of environmental impacts of land concessions, however, remain underrepresented. We link the nation-wide concession development between 2001 and 2017 with associated land use changes and quantify related land use change-induced emissions. Results show that land acquisitions for agriculture, forestry, and mining affect mainly forests and land previously used for shifting cultivation and permanent agriculture; e.g., rice paddies. Consequently, land conversions caused by concessions resulted in net carbon emissions of 4.9 Mt CO2e yr-1 on average in 2001?2017, which amounted to 34% of total emissions from land conversions. Even tree plantations that are meant to serve as net carbon sinks caused net emissions, but those data are the least robust. The relatively low carbon emission intensity of shifting cultivation compared to the high carbon emission intensity of concessions challenges the dominant narrative of shifting cultivation as a causal factor for forest degradation. Political means of fostering sustainable development include the reduction of land acquisitions because of their emissions intensity, and minimization of emissions and social conflict induced by granted concessions, for example, by allocating land with low carbon densities and obtaining consent of local land users.";2022;"land acquisitions, emissions, impacts, concessions, development"
"504";"The agroecological transition in Senegal: transnational links and uneven empowerment.";"S{'e";"Senegal is among the few African countries that counts with an important agroecological movement. This movement is strongly backed up by a network of transnational partnerships and has recently matured into an advocacy coalition that promotes an agroecological transition at national scale. In this article, we investigate the role of transnational links on the empowerment potential of agroecology. Combining the multi-level perspective of socio-technical transitions and Bourdieu's theory of practices, we conceptualize the agroecological network as a niche shaped by the circulation of different types of capital. Using social network analysis, we investigate the existing flows of resources and knowledge, as well as membership and advocacy links to critically address within-niche empowerment processes. We show that transnational ties play a key role in building the niche protective space, showing a financial dependency of the agroecological niche on NGOs and international cooperation programmes based in Europe and North America. This configuration tends to favor the empowerment of NGOs instead of farmer unions, which only play a peripheral role in the network. However, the multiple innovations focus of agroecology may open up prospects for more gradual but potentially radical change. Based on our findings, we suggest to include more explicitly core-periphery dynamics in transition studies involving North-South relations, including circulation of capital, ideas and norms.  Supplementary Information  The online version contains supplementary material available at 10.1007/s10460-021-10247-5.";2022;"senegal, agroecology, transnational, network, empowerment"
"505";"House and contents underinsurance: Insights from bushfire-prone Australia";"Kate Booth and Chloe Lucas and Christine Eriksen and Eliza de Vet and Bruce Tranter and Shaun French and Travis Young and Scott McKinnon";"As the climate changes and extreme weather events become more common, the role of house and contents insurance in managing risks is garnering more attention. There is concern, as insurance is a key safety net in contemporary life, that significant levels of house and contents underinsurance are placing individuals and communities at undue risk. Yet, the phenomenon of underinsurance is under-researched. Informed by a document analysis of findings from a multi-modal project investigating the experiences and perspectives of insured and uninsured households in bushfire-prone Australia, we identify underinsurance as a complex phenomenon that is variably co-constituted at different scales ? households, landscapes, and markets. To better understand what principles can be meaningfully applied for addressing underinsurance, we present four pertinent and novel themes ? place (contextualising rates of underinsurance), integration (integrating insurance with other disaster management mechanisms), hegemony (dismantling hegemonic risk discourses including reference to ?shared responsibility?), and solidarity (in insurance, and through disaster and climate responses). We conclude that addressing inequality and inequity remains paramount given the multifarious reasons why households may be underinsured. Strategies for addressing disasters and global environmental change should be socially just and inclusive irrespective of whether or not households have insurance.      Previous article in issue";2022;"climate, insurance, underinsurance, households, risk"
"506";"Harvested area did not increase abruptly{--";"Johannes Breidenbach and David Ellison and Hans Petersson and Kari T. Korhonen and Helena M. Henttonen and J{\"o";"";2022;"communication, body, language, perception, accuracy"
"507";"Swiss Early Instrumental Meteorological Series";"Yuri Brugnara and Stefan Br{\"o";"";2022;"stigma, mental illness, police, training, intervention"
"508";"Swiss Early Instrumental Meteorological Series";"Yuri Brugnara and Stefan Br{\"o";"";2022;"quantum, computation, algorithms, error, correction"
"509";"Century-long column ozone records show that chemical and dynamical influences counteract each other";"Stefan Br{\"o";"";2022;"heterogeneity, PD-L1, expression, cancer, prognosis"
"510";"Wetter \"Made\" in Aarau";"Stefan Br{\"o";"";2022;"algorithm, parallel, optimization, genetic, energy"
"511";"From climate to weather reconstructions";"Stefan Br{\"o";"Climate reconstructions have contributed tremendously to our understanding of changes in the climate system and will continue to do so. However, in climate science the focus has partly shifted away from past seasonal and annual mean climate towards weather variability and extreme events. Weather events are more directly relevant for climate impacts and they capture the scale at which important processes take place. Weather reconstructions therefore help to better understand atmospheric processes, particularly during extreme events, to assess decadal-to-multidecadal climate variability through the lens of weather changes, and they allow impact modelling of past events. Consequently, attempts are currently undertaken to extend weather data sets far back into the past. In this review I discuss methods of weather reconstructions that are in use today. The methods range from expert analyses to data assimilation, from analog approaches to machine learning. Products range from weather types to four-dimensional fields. The methods complement each other as they are based on different assumptions and are based on different data sets. Weather reconstructions require more meteorological data than climate reconstructions. Additional data rescue efforts are therefore needed.";2022;"climate, weather, reconstructions, methods, impacts"
"512";"Alexander von Humboldt Multiperspective Approaches";"Stefan Br{\"o";"";2022;"summary, catechins, green, tea, beverage"
"513";"Swiss Early Instrumental Meteorological Series";"Stefan Br{\"o";"";2022;"cognitive, aging, training, visual, performance"
"514";"Swiss Early Instrumental Meteorological Series";"Stefan Br{\"o";"";2022;"mentalhealth, adolescence, internet, socialmedia, intervention."
"515";"Swiss Early Instrumental Meteorological Series";"Stefan Br{\"o";"";2022;"allergy, pregnancy, asthma, atopy, infants"
"516";"Swiss Early Instrumental Meteorological Series";"Stefan Br{\"o";"";2022;"mucus, chronic, obstructive, disease, inflammation"
"517";"Homogeneity assessment of Swiss snow depth series: comparison of break detection capabilities of (semi-)automatic homogenization methods";"Moritz Sebastian Wendelin Buchmann and John Coll and Johannes Aschauer and Michael Begert and Stefan Br{\"o";"";2022;"smartphone, usage, mental, health, adolescents"
"518";"A global inventory of quantitative documentary evidence related to climate since the 15th century";"Angela-Maria Burgdorf";"";2022;"gene expression, regulation, network, computational, analysis"
"519";"Berns Westen im (Klima-) Wandel. Wie sich Stadtentwicklung und Klimawandel auf das sommerliche Mikroklima auswirken. Fachbeitrag zu Berner Geographische Mitteilungen 2021";"Moritz Alexander Burger and Moritz Raffael Gubler and Stefan Br{\"o";"";2022;"classification, imbalanced, data, semi-supervised, neural."
"520";"Advancing the study of driving forces of landscape change";"Matthias B{\"u";"";2022;"sustainability, compactification, urban, sprawl, modeling"
"521";"Far away and yet so close: urban-rural linkages in the context of multilocal work arrangements";"Reto B{\"u";"Digital technologies allow knowledge workers to work from multiple locations in both urban and rural areas, creating urban?rural linkages. Information and communication technologies (ICTs) play a critical role. We used a novel mixed-methods approach to combine quantitative data from laptop and smartphone tracking with qualitative data from ethnographic walk-along observations and semistructured interviews to analyse the creation of urban?rural linkages and temporary proximity in multilocal work arrangements. The results show that multilocal knowledge workers create urban?rural linkages on demand, thereby generating temporary proximity between the urban and the rural. Yet, the economic embedding of these workers in the rural is limited.";2022;"digital, urban, rural, ict, workers"
"522";"Analysing digital multilocality between urban centres and rural peripheries: Combining and integrating digital and analogue research methods.";"Reto B{\"u";"The application of mixed methods in researching digitalisation and rural development has numerous benefits in terms of the integration of various data sources. In this paper, we present a novel, mixed methods approach that combines digital and analogue methods. We investigatemultilocal work arrangements of knowledge workers in Switzerland who mainly work in a central urban area but occasionally withdraw to peripheral mountain regions in order to conduct their work in a concentrated and undisturbed environment. To analyse such multilocal work arrangements, we use a mixed methods approach that incorporates six integratedmethods: geotracking, laptop and smartphone tracking, self-administered digital diaries, ethnographic walk-along observations and qualitative semi-structured interviews. Our study illustrates that mixed methods in digitalisation research provide in-depth insights, but that they also have limitations. Furthermore, we show how ethical standards can and should be used to create a basis of trust with the study participants and how this affects the recruitment of the sample.";2022;"benefits, integration, approach, analysis, ethical"
"523";"Where innovation meets directionality: an index to measure regional readiness to deal with societal challenges";"Francesco Cappellano and Teemu Makkonen and Nicola Francesco Dotti and Arnault Marie Marc Morisson de la Bassetiere and Annalisa Rizzo";"The growing interest in addressing societal challenges is changing research and innovation policy dynamics. However, a challenge-oriented approach requires specific public sector capacities to coordinate and provide directionality, while having an innovation ecosystem with sufficient scientific and technological capabilities to address the grand societal challenges effectively. From this perspective, a challenge-oriented policy is not a one-size-fits-all approach, and the literature has only recently started investigating the territorial differences. The current paper proposes a composite index to assess REgional Societal Challenges-Oriented REadiness (RE-SCORE). An exploratory experimental application is conducted to examine and compare Italian regions facing four selected societal challenges (SCs): bioeconomy, climate change, health and inclusive, innovative and reflective societies. The findings show that the Italian regional readiness to address SCs is highly heterogeneous, going beyond the ?traditional? North-South divide. The index allows us to benchmark regional capacities for comparative analysis and to identify possible interregional synergies around specific SCs. This approach could be used in other European countries and at the European level to assess the regional readiness to tackle SCs.";2022;"interest, policy, challenges, index, regional"
"524";"EGU General Assembly 2022";"Natalie Claire Ceperley and Anthony Michelon and Harsh Beria and Torsten Vennemann and Bettina Schaefli";"";2022;"faults, detection, machine, learning, pipeline"
